HomeTeam,AwayTeam,FTHG,FTAG,is_group_stage
Rennes,Celtic,1.0,1.0,True
PSV Eindhoven,Sporting CP,3.0,2.0,True
Basel,Krasnodar,5.0,0.0,True
FC Copenhagen,Lugano,1.0,0.0,True
Standard Liège,Vitória,2.0,0.0,True
Getafe,Trabzonspor,1.0,0.0,True
Eint Frankfurt,Arsenal,0.0,3.0,True
LASK,Rosenborg,1.0,0.0,True
CFR Cluj,Lazio,2.0,1.0,True
APOEL,F91 Dudelange,3.0,4.0,True
Dynamo Kyiv,Malmö,1.0,0.0,True
Qarabağ Ağdam,Sevilla,0.0,3.0,True
Wolves,Braga,0.0,1.0,True
Porto,Young Boys,2.0,1.0,True
Man United,Astana FK,1.0,0.0,True
Rangers,Feyenoord,1.0,0.0,True
Espanyol,Ferencváros,1.0,1.0,True
Wolfsburg,FC Oleksandriya,3.0,1.0,True
M'Gladbach,Wolfsberger AC,0.0,4.0,True
Partizan,AZ Alkmaar,2.0,2.0,True
Slovan Bratislava,Beşiktaş,4.0,2.0,True
Gent,SaintÉtienne,3.0,2.0,True
Roma,Başakşehir,4.0,0.0,True
Ludogorets,CSKA Moscow,5.0,1.0,True
,,,,False
Astana FK,Partizan,1.0,2.0,True
Braga,Slovan Bratislava,2.0,2.0,True
Feyenoord,Porto,2.0,0.0,True
Wolfsberger AC,Roma,1.0,1.0,True
Ferencváros,Ludogorets,0.0,3.0,True
AZ Alkmaar,Man United,0.0,0.0,True
SaintÉtienne,Wolfsburg,1.0,1.0,True
Young Boys,Rangers,2.0,1.0,True
Başakşehir,M'Gladbach,1.0,1.0,True
FC Oleksandriya,Gent,1.0,1.0,True
Beşiktaş,Wolves,0.0,1.0,True
CSKA Moscow,Espanyol,0.0,2.0,True
Vitória,Eint Frankfurt,0.0,1.0,True
Celtic,CFR Cluj,2.0,0.0,True
Sporting CP,LASK,2.0,1.0,True
Arsenal,Standard Liège,4.0,0.0,True
Lugano,Dynamo Kyiv,0.0,0.0,True
Malmö,FC Copenhagen,1.0,1.0,True
F91 Dudelange,Qarabağ Ağdam,1.0,4.0,True
Rosenborg,PSV Eindhoven,1.0,4.0,True
Sevilla,APOEL,1.0,0.0,True
Lazio,Rennes,2.0,1.0,True
Trabzonspor,Basel,2.0,2.0,True
Krasnodar,Getafe,1.0,2.0,True
,,,,False
Porto,Rangers,1.0,1.0,True
Partizan,Man United,0.0,1.0,True
Young Boys,Feyenoord,2.0,0.0,True
AZ Alkmaar,Astana FK,6.0,0.0,True
Slovan Bratislava,Wolves,1.0,2.0,True
SaintÉtienne,FC Oleksandriya,1.0,1.0,True
Gent,Wolfsburg,2.0,2.0,True
Roma,M'Gladbach,1.0,1.0,True
Ludogorets,Espanyol,0.0,1.0,True
CSKA Moscow,Ferencváros,0.0,1.0,True
Başakşehir,Wolfsberger AC,1.0,0.0,True
Beşiktaş,Braga,1.0,2.0,True
Qarabağ Ağdam,APOEL,2.0,2.0,True
Arsenal,Vitória,3.0,2.0,True
Sporting CP,Rosenborg,1.0,0.0,True
Celtic,Lazio,2.0,1.0,True
PSV Eindhoven,LASK,0.0,0.0,True
Eint Frankfurt,Standard Liège,2.0,1.0,True
Malmö,Lugano,2.0,1.0,True
Sevilla,F91 Dudelange,3.0,0.0,True
