Round,Wk,Day,Date,Time,Home,Score,Away,Attendance,Venue,Referee,Match Report,Notes
Group stage,1,Thu,2017-09-14,19:00 (13:00),Austria Wien at,1–5,it Milan,31409,Ernst-Happel-Stadion,Serdar Gözübüyük,Match Report,
Group stage,1,Thu,2017-09-14,19:00 (13:00),Young Boys ch,1–1,rs Partizan,13004,Stade de Suisse Wankdorf Bern,István Kovács,Match Report,
Group stage,1,Thu,2017-09-14,19:00 (13:00),Villarreal es,3–1,kz FC Astana,18144,Estadio de la Cerámica,Srđan Jovanović,Match Report,
Group stage,1,Thu,2017-09-14,19:00 (13:00),Fastav Zlín cz,0–0,md Sheriff Tiraspol,4499,Andrův stadion,Andrew Dallas,Match Report,
Group stage,1,Thu,2017-09-14,19:00 (13:00),Hoffenheim de,1–2,pt Braga,15714,PreZero Arena,Bobby Madden,Match Report,
Group stage,1,Thu,2017-09-14,19:00 (13:00),Atalanta it,3–0,eng Everton,14890,Stadio Città del Tricolore,Vladislav Bezborodov,Match Report,
Group stage,1,Thu,2017-09-14,19:00 (13:00),Slavia Prague cz,1–0,il Maccabi Tel Aviv,13035,Sinobo Stadium,Robert Schörgenhofer,Match Report,
Group stage,1,Thu,2017-09-14,19:00 (13:00),Rijeka hr,1–2,gr AEK Athens,5932,Nogometno igralište Rujevica,John Beaton,Match Report,
Group stage,1,Thu,2017-09-14,19:00 (13:00),FC Copenhagen dk,0–0,ru Loko Moscow,17285,Telia Parken,Hüseyin Göçek,Match Report,
Group stage,1,Thu,2017-09-14,20:00 (13:00),Apollon Limassol cy,1–1,fr Lyon,5134,Neo GSP,Miroslav Zelinka,Match Report,
Group stage,1,Thu,2017-09-14,20:00 (13:00),Başakşehir tr,0–0,bg Ludogorets,6000,Başakşehir Fatih Terim Stadium,Stefan Johannesson,Match Report,
Group stage,1,Thu,2017-09-14,20:00 (13:00),Dynamo Kyiv ua,3–1,al Skënderbeu Korçë,24883,NSK Olimpijs'kyj,Bart Vertenten,Match Report,
Group stage,1,Thu,2017-09-14,20:05 (15:05),Vitória pt,1–1,at RB Salzburg,16000,Estádio Dom Afonso Henriques,Əliyar Ağayev,Match Report,
Group stage,1,Thu,2017-09-14,21:05 (15:05),FK Vardar mk,0–5,ru Zenit,25000,Telekom Arena,Jakob Kehlet,Match Report,
Group stage,1,Thu,2017-09-14,21:05 (15:05),Zulte Waregem be,1–5,fr Nice,9072,Regenboogstadion,Ali Palabıyık,Match Report,
Group stage,1,Thu,2017-09-14,21:05 (15:05),Hertha BSC de,0–0,es Athletic Club,28832,Olympiastadion Berlin,Ivan Kružliak,Match Report,
Group stage,1,Thu,2017-09-14,21:05 (15:05),Real Sociedad es,4–0,no Rosenborg,21479,Estadio Municipal de Anoeta,Paolo Mazzoleni,Match Report,
Group stage,1,Thu,2017-09-14,21:05 (15:05),Red Star rs,1–1,by BATE Borisov,40284,Stadion Rajko Mitić,Yevhen Aranovskyi,Match Report,
Group stage,1,Thu,2017-09-14,21:05 (15:05),Vitesse nl,2–3,it Lazio,19867,GelreDome,Liran Liany,Match Report,
