Season,Competition Name,HomeCountry,AwayCountry,Stage,HomeTeam,AwayTeam,HomeGoals,AwayGoals,HomePenalties,AwayPenalites
1956,CHAMPIONS CUP,Den,Fra,Round 1,AGF Aarhus,Stade de Reims,0,2,,
1956,CHAMPIONS CUP,Fra,Den,Round 1,Stade de Reims,AGF Aarhus,2,2,,
1956,CHAMPIONS CUP,Hun,Bel,Round 1,Voros Lobogo Budapest,Anderlecht,6,3,,
1956,CHAMPIONS CUP,Bel,Hun,Round 1,Anderlecht,Voros Lobogo Budapest,1,4,,
1956,CHAMPIONS CUP,Swe,Pol,Round 1,Djurgardens IF,Gwardia Warsaw,0,0,,
1956,CHAMPIONS CUP,Pol,Swe,Round 1,Gwardia Warsaw,Djurgardens IF,1,4,,
1956,CHAMPIONS CUP,Ger,Sco,Round 1,Rot-Wei Essen,Hibernian,0,4,,
1956,CHAMPIONS CUP,Sco,Ger,Round 1,Hibernian,Rot-Wei Essen,1,1,,
1956,CHAMPIONS CUP,Ita,Saa,Round 1,AC Milan,1.FC Saarbrucken,3,4,,
1956,CHAMPIONS CUP,Saa,Ita,Round 1,1.FC Saarbrucken,AC Milan,1,4,,
1956,CHAMPIONS CUP,Aut,Ned,Round 1,Rapid Wien,PSV Eindhoven,6,1,,
1956,CHAMPIONS CUP,Ned,Aut,Round 1,PSV Eindhoven,Rapid Wien,1,0,,
1956,CHAMPIONS CUP,Por,YUG,Round 1,Sporting CP Lisbon,Partizan Belgrade,3,3,,
1956,CHAMPIONS CUP,YUG,Por,Round 1,Partizan Belgrade,Sporting CP Lisbon,5,2,,
1956,CHAMPIONS CUP,Sui,Esp,Round 1,Servette FC Geneve,Real Madrid,0,2,,
1956,CHAMPIONS CUP,Esp,Sui,Round 1,Real Madrid,Servette FC Geneve,5,0,,
1956,CHAMPIONS CUP,Fra,Hun,Quarter Finals,Stade de Reims,Voros Lobogo Budapest,4,2,,
1956,CHAMPIONS CUP,Hun,Fra,Quarter Finals,Voros Lobogo Budapest,Stade de Reims,4,4,,
1956,CHAMPIONS CUP,Swe,Sco,Quarter Finals,Djurgardens IF,Hibernian,1,3,,
1956,CHAMPIONS CUP,Sco,Swe,Quarter Finals,Hibernian,Djurgardens IF,1,0,,
1956,CHAMPIONS CUP,Aut,Ita,Quarter Finals,Rapid Wien,AC Milan,1,1,,
1956,CHAMPIONS CUP,Ita,Aut,Quarter Finals,AC Milan,Rapid Wien,7,2,,
1956,CHAMPIONS CUP,Esp,YUG,Quarter Finals,Real Madrid,Partizan Belgrade,4,0,,
1956,CHAMPIONS CUP,YUG,Esp,Quarter Finals,Partizan Belgrade,Real Madrid,3,0,,
1956,CHAMPIONS CUP,Fra,Sco,Semi Finals,Stade de Reims,Hibernian,2,0,,
1956,CHAMPIONS CUP,Sco,Fra,Semi Finals,Hibernian,Stade de Reims,0,1,,
1956,CHAMPIONS CUP,Esp,Ita,Semi Finals,Real Madrid,AC Milan,4,2,,
1956,CHAMPIONS CUP,Ita,Esp,Semi Finals,AC Milan,Real Madrid,2,1,,
1956,CHAMPIONS CUP,Esp,Fra,Final,Real Madrid,Stade de Reims,4,3,,
1957,CHAMPIONS CUP,TCH,Pol,Qualifying Round,Slovan Bratislava,CWKS Warsaw,4,0,,
1957,CHAMPIONS CUP,Pol,TCH,Qualifying Round,CWKS Warsaw,Slovan Bratislava,2,0,,
1957,CHAMPIONS CUP,Rom,Tur,Qualifying Round,Dinamo Bucuresti,Galatasaray,3,1,,
1957,CHAMPIONS CUP,Tur,Rom,Qualifying Round,Galatasaray,Dinamo Bucuresti,2,1,,
1957,CHAMPIONS CUP,Ger,Lux,Qualifying Round,Borussia Dortmund,CA Spora Luxembourg,4,3,,
1957,CHAMPIONS CUP,Lux,Ger,Qualifying Round,CA Spora Luxembourg,Borussia Dortmund,2,1,,
1957,CHAMPIONS CUP,Bel,Eng,Qualifying Round,Anderlecht,Manchester United,0,2,,
1957,CHAMPIONS CUP,Eng,Bel,Qualifying Round,Manchester United,Anderlecht,10,0,,
1957,CHAMPIONS CUP,Por,Esp,Qualifying Round,FC Porto,Athletic Bilbao,1,2,,
1957,CHAMPIONS CUP,Esp,Por,Qualifying Round,Athletic Bilbao,FC Porto,3,2,,
1957,CHAMPIONS CUP,Den,Fra,Qualifying Round,AGF Aarhus,OGC Nice,1,1,,
1957,CHAMPIONS CUP,Fra,Den,Qualifying Round,OGC Nice,AGF Aarhus,5,1,,
1957,CHAMPIONS CUP,Ita,Swe,Round 1,Fiorentina,IFK Norrkoping,1,1,,
1957,CHAMPIONS CUP,Swe,Ita,Round 1,IFK Norrkoping,Fiorentina,0,1,,
1957,CHAMPIONS CUP,TCH,Sui,Round 1,Slovan Bratislava,Grasshoppers Zurich,1,0,,
1957,CHAMPIONS CUP,Sui,TCH,Round 1,Grasshoppers Zurich,Slovan Bratislava,2,0,,
1957,CHAMPIONS CUP,Bul,Rom,Round 1,CDNA Sofia,Dinamo Bucuresti,8,1,,
1957,CHAMPIONS CUP,Rom,Bul,Round 1,Dinamo Bucuresti,CDNA Sofia,3,2,,
1957,CHAMPIONS CUP,Ned,YUG,Round 1,Rapid JC Heerlen,Red Star Belgrade,3,4,,
1957,CHAMPIONS CUP,YUG,Ned,Round 1,Red Star Belgrade,Rapid JC Heerlen,2,0,,
1957,CHAMPIONS CUP,Eng,Ger,Round 1,Manchester United,Borussia Dortmund,3,2,,
1957,CHAMPIONS CUP,Ger,Eng,Round 1,Borussia Dortmund,Manchester United,0,0,,
1957,CHAMPIONS CUP,Esp,Hun,Round 1,Athletic Bilbao,Honved Budapest,3,2,,
1957,CHAMPIONS CUP,Hun,Esp,Round 1,Honved Budapest,Athletic Bilbao,3,3,,
1957,CHAMPIONS CUP,Sco,Fra,Round 1,Glasgow Rangers,OGC Nice,2,1,,
1957,CHAMPIONS CUP,Fra,Sco,Round 1,OGC Nice,Glasgow Rangers,2,1,,
1957,CHAMPIONS CUP,Esp,Aut,Round 1,Real Madrid,Rapid Wien,4,2,,
1957,CHAMPIONS CUP,Aut,Esp,Round 1,Rapid Wien,Real Madrid,3,1,,
1957,CHAMPIONS CUP,Ita,Sui,Quarter Finals,Fiorentina,Grasshoppers Zurich,3,1,,
1957,CHAMPIONS CUP,Sui,Ita,Quarter Finals,Grasshoppers Zurich,Fiorentina,2,2,,
1957,CHAMPIONS CUP,YUG,Bul,Quarter Finals,Red Star Belgrade,CDNA Sofia,3,1,,
1957,CHAMPIONS CUP,Bul,YUG,Quarter Finals,CDNA Sofia,Red Star Belgrade,2,1,,
1957,CHAMPIONS CUP,Esp,Eng,Quarter Finals,Athletic Bilbao,Manchester United,5,3,,
1957,CHAMPIONS CUP,Eng,Esp,Quarter Finals,Manchester United,Athletic Bilbao,3,0,,
1957,CHAMPIONS CUP,Esp,Fra,Quarter Finals,Real Madrid,OGC Nice,3,0,,
1957,CHAMPIONS CUP,Fra,Esp,Quarter Finals,OGC Nice,Real Madrid,2,3,,
1957,CHAMPIONS CUP,YUG,Ita,Semi Finals,Red Star Belgrade,Fiorentina,0,1,,
1957,CHAMPIONS CUP,Ita,YUG,Semi Finals,Fiorentina,Red Star Belgrade,0,0,,
1957,CHAMPIONS CUP,Esp,Eng,Semi Finals,Real Madrid,Manchester United,3,1,,
1957,CHAMPIONS CUP,Eng,Esp,Semi Finals,Manchester United,Real Madrid,2,2,,
1957,CHAMPIONS CUP,Esp,Ita,Final,Real Madrid,Fiorentina,2,0,,
1958,INTER-CITIES FAIRS CUP,Ger,Sui,Group Stage,Frankfurt XI,Basel XI,5,1,,
1958,INTER-CITIES FAIRS CUP,Sui,Ger,Group Stage,Basel XI,Frankfurt XI,6,2,,
1958,INTER-CITIES FAIRS CUP,Eng,Ger,Group Stage,London XI,Frankfurt XI,3,2,,
1958,INTER-CITIES FAIRS CUP,Ger,Eng,Group Stage,Frankfurt XI,London XI,1,0,,
1958,INTER-CITIES FAIRS CUP,Sui,Eng,Group Stage,Basel XI,London XI,0,5,,
1958,INTER-CITIES FAIRS CUP,Eng,Sui,Group Stage,London XI,Basel XI,1,0,,
1958,INTER-CITIES FAIRS CUP,GDR,Sui,Group Stage,Leipzig XI,Lausanne Sports,6,3,,
1958,INTER-CITIES FAIRS CUP,Sui,GDR,Group Stage,Lausanne Sports,Leipzig XI,7,3,,
1958,INTER-CITIES FAIRS CUP,YUG,Ita,Group Stage,Zagreb XI,Internazionale,0,1,,
1958,INTER-CITIES FAIRS CUP,Ita,YUG,Group Stage,Internazionale,Zagreb XI,4,0,,
1958,INTER-CITIES FAIRS CUP,YUG,Eng,Group Stage,Zagreb XI,Birmingham City,0,1,,
